"Entity","mean_temp","Code","Year","Consumption"
"Afghanistan",11.525845798361,"AFG",2018,0.21
"Albania",11.5303962882011,"ALB",2018,7.17
"Algeria",22.9544436632368,"DZA",2018,0.95
"Angola",21.613176246145,"AGO",2018,6.94
"Argentina",14.1990389651604,"ARG",2018,9.65
"Armenia",6.20987829942409,"ARM",2018,5.55
"Australia",21.4637378321867,"AUS",2018,10.51
"Austria",5.76347028383838,"AUT",2018,11.96
"Azerbaijan",12.0262325121168,"AZE",2018,4.41
"Bahamas",24.7628466040687,"BHS",2018,4.78
"Bangladesh",25.5221887555432,"BGD",2018,0.019
"Belarus",6.23763818263803,"BLR",2018,11.45
"Belgium",9.51579663540307,"BEL",2018,11.08
"Belize",24.8022015505059,"BLZ",2018,6.22
"Benin",27.1863190441631,"BEN",2018,2.81
"Bhutan",9.84099645296413,"BTN",2018,0.43
"Bolivia",20.4394909204078,"BOL",2018,4.43
"Bosnia and Herzegovina",9.06537662638655,"BIH",2018,7.15
"Botswana",20.8311243574966,"BWA",2018,6.59
"Brazil",24.4436663152994,"BRA",2018,7.42
"Bulgaria",10.2071698518535,"BGR",2018,12.65
"Burkina Faso",28.0668563706356,"BFA",2018,12.03
"Burundi",19.7397122685995,"BDI",2018,7.19
"Cambodia",26.7398937271164,"KHM",2018,6.64
"Cameroon",24.256601308202,"CMR",2018,5.65
"Canada",-6.94770000749273,"CAN",2018,8.94
"Central African Republic",24.8864197638752,"CAF",2018,2.38
"Chad",26.9570371723072,"TCD",2018,1.37
"Chile",8.51112530748294,"CHL",2018,9.07
"China",6.38136769191868,"CHN",2018,7.05
"Colombia",24.5936932448731,"COL",2018,5.74
"Costa Rica",23.5691623744714,"CRI",2018,4.87
"Croatia",10.8681954569052,"HRV",2018,9.23
"Cuba",25.0444544160103,"CUB",2018,5.83
"Cyprus",17.379129545625,"CYP",2018,10.81
"Denmark",7.74262733611213,"DNK",2018,10.26
"Djibouti",27.8741498144919,"DJI",2018,0.43
"Dominican Republic",23.9657197064028,"DOM",2018,6.68
"Ecuador",20.8910302101784,"ECU",2018,4.2
"Egypt",21.9744637369754,"EGY",2018,0.36
"El Salvador",24.3829091704058,"SLV",2018,3.89
"Equatorial Guinea",23.2982415296264,"GNQ",2018,7.23
"Eritrea",26.1454252364038,"ERI",2018,1.44
"Estonia",5.0673690681273,"EST",2018,9.23
